Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Confidence Level),Custom field (Development),Custom field (Epic Link),Custom field (Raised During),Custom field (Rank),Sprint,Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment
Site visitor views poll results,CGAA-372,15192,Story,Closed,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,Duplicate,,leslieg,leslieg,11/Jan/15 12:45 PM,19/May/17 4:30 PM,13/Feb/18 9:39 PM,16/Aug/15 9:59 PM,,7.x-2.0.4-licensee-rc2.5,,0,Accessibility,,"*Feature*
As a anonymous site visitor
I view the results of a poll
to determine how others feel about the subject

*Scenario*
As an anonymous site visitor
I select the view results option
to view the aggregated results of the poll

*Scenario*
As an anonymous site visitor
I view the percentage of users that chose each option on the poll
to determine how others feel about the subject
*Accessibility considerations*
I need to be able to understand which percentage goes with which poll option.  This data might be presented to me marked up as an HTML table with clearly defined row and column scope.  If this information is presented graphically, a non-graphical representation must also be present such that I have access to the same data as those looking at the graph.",,kay v,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2=Likely,{},CGAA-113,,1|i0057b:,,,,2015-08-17 01:59:22.85,16/Aug/15 9:59 PM;kay v;consolidated user stories about polls into ticket [cgaa-371 | Site visitor takes a poll then views results],,,
Writer needs to upload supplemental documents,CGAA-205,12312,Story,Closed,CGAA,Columbia Go Ask Alice!,software,kay v,,,Critical,Fixed,,kathlynw,kathlynw,29/May/14 3:26 PM,19/May/17 4:30 PM,13/Feb/18 9:39 PM,14/Feb/17 8:09 AM,,7.x-2.0.4-licensee-rc2.5,,0,,,"As a writer, I may need to upload a supplemental document to the CMS if I have reviewed the research document on file and find an additional source of information that helps me formulate an appropriate response to the question. ",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-5,,1|i004xr:,,,,,02/Dec/16 4:14 PM;kathlynw;I believe this has been resolved. We edited the task so that the writer could add supplemental research if needed.,,,
Manager needs to upload a supplemental document,CGAA-207,12314,Story,Closed,CGAA,Columbia Go Ask Alice!,software,kay v,,,Critical,Fixed,,kathlynw,kathlynw,29/May/14 3:32 PM,19/May/17 4:30 PM,13/Feb/18 9:39 PM,14/Feb/17 8:08 AM,,7.x-2.0.4-licensee-rc2.5,,0,,,"As a manager, I may upload a supplemental document to the CMS if I am reviewing a newly edited response (or an edited update to a published response) and see that it needs additional information or content added. The supplemental doc will reflect the resource(s) I referenced to inform the additional content to the question response I am reviewing and preparing for publish. ",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-5,,1|i004vz:,,,,,02/Dec/16 4:15 PM;kathlynw;I believe this has also been addressed. Managers can also add supplemental research as part of the task assignment design.,,,
Site visitor takes a poll then views results,CGAA-371,15191,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,dave v,leslieg,leslieg,11/Jan/15 12:40 PM,15/Mar/17 3:24 PM,13/Feb/18 9:39 PM,,,,,0,Accessibility,,"*Feature*

The only stated purpose of polls is to give visitors another exposure to site topics.

As a anonymous site visitor
I respond to a poll
to express my opinion on the question
(Note there is not an assumption of further purpose, or necessarily of recording the opinion.)

*Scenario*
As an anonymous site visitor
Once I have voted on a given poll I see the poll results rather than the opportunity to vote
So that -a) I can see a tally of others' votes and b)- I understand I've voted -and do not have the option to vote again-.
(The struck-through items would be considered 'nice to have', with room for alternative proposals.)

*Accessibility considerations for poll questions*
Each radio button must be clearly labeled, so that I know which option I am choosing.  In addition, radio buttons should be given a fieldset and legend, so that I understand that they are grouped.

*Accessibility considerations for poll results*
I need to be able to understand which percentage goes with which poll option.  This data might be presented to me marked up as an HTML table with clearly defined row and column scope.  If this information is presented graphically, a non-graphical representation must also be present such that I have access to the same data as those looking at the graph.",,leslieg,,,,,,,,,,,,,CGAA-224,CGAA-372,CGAA-550,CGAA-834,CGAA-933,CGAA-1283,CGAA-1320,CGAA-1322,CGAA-1332,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i00573:,,,,,,,,
licensee determines which resources appear on the licensee site,CGAA-2314,27606,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,07/Mar/17 10:53 AM,07/Mar/17 10:55 AM,13/Feb/18 9:39 PM,,,,,0,,,"licensees can add up to 6 licensee resources (aka services, aka local resources)
when licensees do not have 6 distinct resources to list, they can
- determine which resources display on the On-campus resources listing
- determine which resources map to which service terms",,kay v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i00bg2:,,,,,,,,
Content publishes everywhere,CGAA-398,15313,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,kay v,leslieg,leslieg,23/Jan/15 12:09 AM,07/Mar/17 1:14 AM,13/Feb/18 9:39 PM,,,,,0,,,"As a content publisher on the GAA site
the content I publish is distributed to all licensee sites
so that all content published will be visible everywhere",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2=Likely,{},CGAA-7,,1|i00acp:r,,,,,,,,
Submission conversion from question to comments & corrections successful.,CGAA-2042,24723,Story,Closed,CGAA,Columbia Go Ask Alice!,software,kay v,,,Minor,Fixed,,kathlynw,kathlynw,22/Nov/16 1:03 PM,12/Dec/16 5:03 PM,13/Feb/18 9:39 PM,22/Nov/16 1:58 PM,,reader input dashboard alpha 2 with additional changes,,0,,,Text remained unchanged in conversion.,,kathlynw,kay v,,,,,,,,,,,,,,,,,,,,,,,,,,22/Nov/16 1:03 PM;kathlynw;capture-for-jira-screenshot-20161122-115401-988.png;https://ownsourcing.atlassian.net/secure/attachment/19821/capture-for-jira-screenshot-20161122-115401-988.png,22/Nov/16 1:03 PM;kathlynw;capture-for-jira-screenshot-20161122-115410-597.png;https://ownsourcing.atlassian.net/secure/attachment/19822/capture-for-jira-screenshot-20161122-115410-597.png,22/Nov/16 1:03 PM;kathlynw;capture-for-jira-screenshot-20161122-130249-792.png;https://ownsourcing.atlassian.net/secure/attachment/19823/capture-for-jira-screenshot-20161122-130249-792.png,,3.0,4=Unknown,{},,,1|i009oi:,,,bonfire.testingstatus.notstarted,2016-11-22 18:58:28.627,"22/Nov/16 1:58 PM;kay v;Thanks for confirming this functionality.

I'll mark this ticket as 'fixed'; please reopen it or create a new ticket if it needs further attention.",,,
context-specific menus,CGAA-1794,21514,Story,Closed,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,Fixed,kay v,kay v,kay v,30/Jun/16 2:44 PM,12/Dec/16 5:03 PM,13/Feb/18 9:39 PM,30/Nov/16 2:19 PM,,reader input dashboard alpha 2 with additional changes,,0,confirm_order,,,,kay v,,,,,,,,,,,,,CGAA-1785,CGAA-1777,CGAA-1728,CGAA-1780,CGAA-1729,CGAA-1779,CGAA-1778,,,,,,,,,,,,3.0,2=Likely,{},,,1|i00811:i,,,,,"30/Nov/16 2:19 PM;kay v;already confirmed as working on production

[~kathlynw] please let us know what you need to know for your user documentation",06/Dec/16 11:57 AM;kay v;client confirmed,,
Manager assumes any workflow role,CGAA-129,12005,Story,Closed,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,Fixed,,leslieg,leslieg,05/May/14 9:07 AM,12/Dec/16 5:03 PM,13/Feb/18 9:39 PM,28/Nov/16 3:14 PM,,reader input dashboard alpha 2 with additional changes,,0,needs_documentation,,"*Story*
As a manager 
I can assume any role in the workflow process
in order to expedite the process",,leslieg,,,,,,,,,,,,,CGAA-428,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-5,,1|i004pr:,,,,,,,,
Question admin determines if question is appropriate,CGAA-439,15372,Story,Closed,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,Duplicate,,fletcher b,fletcher b,02/Feb/15 4:08 PM,30/Nov/16 3:26 PM,13/Feb/18 9:39 PM,29/Aug/15 8:56 AM,,improvements including breaking changes,,0,,,,,fletcher b,,,,,,,,,,,,,CGAA-331,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-5,,1|i004or:,,,,,,,,
Converting reader response to collaboration request successful,CGAA-2040,24721,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Minor,,,kathlynw,kathlynw,22/Nov/16 11:40 AM,22/Nov/16 11:40 AM,13/Feb/18 9:39 PM,,,,,0,,,There was no loss of text from original submission and could easily be found in the collaboration request (reader input) submissions. ,,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,22/Nov/16 11:40 AM;kathlynw;capture-for-jira-screenshot-20161122-113840-981.png;https://ownsourcing.atlassian.net/secure/attachment/19814/capture-for-jira-screenshot-20161122-113840-981.png,22/Nov/16 11:40 AM;kathlynw;capture-for-jira-screenshot-20161122-113849-956.png;https://ownsourcing.atlassian.net/secure/attachment/19815/capture-for-jira-screenshot-20161122-113849-956.png,22/Nov/16 11:40 AM;kathlynw;capture-for-jira-screenshot-20161122-113902-296.png;https://ownsourcing.atlassian.net/secure/attachment/19816/capture-for-jira-screenshot-20161122-113902-296.png,22/Nov/16 11:40 AM;kathlynw;capture-for-jira-screenshot-20161122-113935-325.png;https://ownsourcing.atlassian.net/secure/attachment/19817/capture-for-jira-screenshot-20161122-113935-325.png,3.0,4=Unknown,{},,,1|i009o2:,,,bonfire.testingstatus.notstarted,,,,,
re-queuable submissions,CGAA-1796,21513,Story,Reopened,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,30/Jun/16 2:28 PM,13/Oct/16 9:14 AM,13/Feb/18 9:39 PM,,,,,0,,,"h2. forms have purposeful field labels
_responsibility_: as a form author adding/editing forms that enable focused anonymous user submissions
_action_: I can use purposeful field labels (i.e. terms that match the intention of the form, e.g. ...)
_benefit_: so that all the language in and around the form reinforce the intended use of the form

h2. re-queue mis-filed submissions
_responsibility_: as a reader input administrator auditing the 
_action_: I can a) quickly and easily change a submission's workflow queue and b) add a message that explains my action and gives follow-on instructions
_benefit_: so that the submission gets attention from the appropriate member of the Alice! team and they have any additional information I may have had at the time of auditing the submission

h2. audit the actions on a submission
_responsibility_: as a 
_action_: I can
_benefit_: so that ",,kay v,michaelm,,,,,,,,,,,,CGAA-1698,CGAA-1777,,,,,,,,,,,,,,,,,3.0,2=Likely,{},,,1|i00810:,,,,2016-07-20 13:27:37.77,20/Jul/16 9:27 AM;michaelm;Based on my read all of these items are covered elsewhere so do we need this item on the kanban board?,"13/Oct/16 9:04 AM;kay v;since this is a key user story, let's leave it open so we can continue to test against it as we develop features (even testing unrelated features should refer to key stories to protect against regressions)",,
"Reader input: submit, categorize, address",CGAA-264,14605,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,25/Nov/14 9:54 AM,22/Sep/16 2:22 AM,13/Feb/18 9:39 PM,,,,,0,Accessibility,,"*Personas*
Anonymous site visitor can provide input and indicate its purpose by choosing a category.
Reader input admin can act on input, place content in a workflow and/or re-categorize.

*Feature*
As an anonymous site visitor 
I can submit input and indicate it's purpose
I can interact with the editorial team in a way I want without navigating to different pages on the site to give different types of input

*Scenario*
As a site visitor
I can leave a comment (a rant or a rave)
to let the Go Ask Alice! team know how useful the site is
legacy example: http://goaskalice.columbia.edu/node/493

*Scenario*
As a site visitor
I can leave a correction to something that is published on the site
to let the Go Ask Alice! team know about the issue

*Scenario*
As a site visitor
I can leave a media inquiry 
to communicate a press request to the Go Ask Alice! team 

*Scenario*
As a site visitor
I can request that my email be added to the Get Alice in your inbox list 
so that I receive updates on Go Ask Alice! site content via email

*Scenario*
As a site visitor
I can request that Go Ask Alice! gets added to my web site
to communicate the request for content access to the Go Ask Alice! team 

*Accessibility considerations*
I need to be able to choose the type of input I'm providing.  If radio buttons are used, these should be given clear labels, a field set and a legend.  If other controls are used, I must be able to understand and identify the correct control, must be able to interact with it and must be able to determine its state if appropriate.

*Feature*
As a reader input admin
I can choose which type of input I am giving
so that I don't have to navigate to different areas to give different types of input
and so I can interact with the editorial team in a way I want

*Scenario: recategorize*
As an Alice! team member
I can recategorize reader input
so that it appears in the correct workflow queue to ensure Alice! followthrough",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-113,,1|i00567:,,,,,,,,
Not all recommended questions get published,CGAA-1745,19600,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,02/Feb/16 12:19 AM,22/Sep/16 2:22 AM,13/Feb/18 9:39 PM,,,,,0,,,"As a manager reviewing recommended questions
I can decide to change question admin submission to Pass instead of recommend
if the question has already been answered or if the question is deemed inappropriate",,leslieg,,,,,,,,,,,,,CGAA-1823,CGAA-331,CGAA-439,CGAA-264,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|hzzl3a:,,,,,,,,
Review new question submissions (was question admin queue),CGAA-331,15149,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,27/Dec/14 3:32 PM,22/Sep/16 2:21 AM,13/Feb/18 9:39 PM,,,Sprint 1,,0,,,"*Feature* assign
Automatic assignment of new submissions for evaluation

*Feature* start reviewing new questions
As a question admin 
I need a simple interface that lists submitted questions in a queue
so I can easily review the questions that I am responsible for

*Feature*

*Scenario: new questions*
[...]

*Scenario: revisiting previously logged questions*
[...]",,leslieg,,,,,,,,,,,,,CGAA-1551,CGAA-1556,CGAA-1655,CGAA-1449,CGAA-1183,CGAA-1564,CGAA-1622,CGAA-1632,CGAA-1636,CGAA-1639,CGAA-1174,CGAA-1202,CGAA-1510,CGAA-1645,,,,,3.0,2=Likely,{},CGAA-5,,1|i004on:,,,,,,,,
queue administrators request manager input,CGAA-1823,22900,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,12/Sep/16 6:18 PM,22/Sep/16 2:21 AM,13/Feb/18 9:39 PM,,,,,0,,,"As q.admin, I can comment on a newly submitted question before I make a decision. As long as I indicate I'm still working on this task, the question stays in my queue (regardless of other field values, even an admin decision). My comment and any further comments from the manager or from me appear in the comments section.",,kay v,,,,,,,,,,,,,CGAA-1690,CGAA-1802,CGAA-1174,CGAA-1801,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i008cq:,,,,,,,,
Resource library,CGAA-395,15310,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,22/Jan/15 10:47 PM,26/Aug/16 2:47 AM,13/Feb/18 9:39 PM,,,,,0,,,"_agent:_ As a site admin of the GoAsk Alice site
_expectation:_ I can add a URL, title and description for each resource. These resources form a library. 
_benefit:_ When I change information in the library, every instance on my site changes, as does every non-overridden instance on satellite sites.",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-7,,1|i005cn:,,,,,,,,
Add progress notes as I work on a question,CGAA-1743,19502,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,08/Jan/16 10:12 AM,13/Jul/16 10:26 AM,13/Feb/18 9:39 PM,,,,,0,,,"*Feature* - Editorial team member saves and adds progress messages to a question they are working on

Scenario - *My assignment is complete*
As a editorial team member completing work on a question
I can easily save the work and add a progress message
so that other understand progress that I made on the question


Scenario - *My assignment is partially complete*
As a editorial team member working on a question
I can easily save the work and add a progress message whenever I make a change
so that other understand the incremental progress that I am making on the question",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i0071m:,,,,,,,,
Review of Progress messages on a question,CGAA-1742,19501,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,kathlynw,leslieg,leslieg,08/Jan/16 9:39 AM,13/Jul/16 10:26 AM,13/Feb/18 9:39 PM,,,,,0,,,"*Feature* -  an editorial team member reviewing prior progress on a question should be able to easily view all of the progress messages added previously so that they are informed before they start on their task assignment for the question

Scenario - *display messages in a way that they can be hidden when a question is being worked on*
As an editorial team member working on a question
I can view all progress messages that have previously been added to the question in a way that can be hidden as needed
so that my view of the question is as efficient as possible for the task assignment I am performing

Scenario - *many progress messages added*
As an editorial team member working on a question
I can view all progress messages that have previously been added regardless of the number of progress messages
so that I have a complete picture of all prior progress messages before I begin my work on the question

Scenario - *long progress messages added*
As an editorial team member working on a question
I can view the complete text of all progress messages that have previously been added regardless of the length of the progress messages
so that I have a complete picture of all prior progress messages before I begin my work on the question

",,kathlynw,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i0071e:,,,,2016-01-11 15:17:09.844,"08/Jan/16 11:09 AM;leslieg;The prototype of handling a long progress message can be viewed at http://gaa03effoptionsizm4xrl4cj.devcloud.acquia-sites.com/answered-questions/whats-going-am-i-depressed

You will need to log into the prototype site first. http://gaa03effoptionsizm4xrl4cj.devcloud.acquia-sites.com/user    Your credentials should work.

The long messages will contain the text ""Read more"".  Short progress messages will not have the read more link. 

Since the long message appears in a popup window it is important to make sue the Alice! team members will have access to popups on their own and any public computers they may use. Variations on public computers used should be tested.

Note - we are aware that the read more text is not fully displayed at times.  That will be addressed if your team agrees to move forward with this.","11/Jan/16 10:17 AM;kathlynw;The ""read more"" function seems to work well. It will be good to test the pop-up screens on other computers with other users. I think this is ready to deploy on the staging site for testing.",15/Jan/16 10:10 AM;leslieg;The updates to progress messages can be viewed on stage at http://askalicestg.prod.acquia-sites.com.   All aspects of the user story described should be working.  Please verify.,
Access to an on-boarding environment,CGAA-1744,19503,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,kathlynw,leslieg,leslieg,08/Jan/16 10:46 AM,11/Jan/16 10:19 AM,13/Feb/18 9:39 PM,,,,,0,,,"As a manager of the Alice! team
I have access to an onboarding environment
so that I can train new users without impacting our production site",,kathlynw,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},,,1|i0071u:,,,,2016-01-11 15:19:32.016,"08/Jan/16 10:50 AM;leslieg;A new onboarding environment is available at http://askaliceonboarding.prod.acquia-sites.com/

This environment is a copy of the production environment from 1/7/2016",08/Jan/16 10:51 AM;leslieg;Please check the new environment and let us know if the environment has what you need for future onboarding.   The content and functionality matches production as of yesterday.,"11/Jan/16 10:19 AM;kathlynw;I was able to log in with no issue and the site, as of now, seems to be functioning as expected.",
Add comment before advancing a question to the next step in the process,CGAA-20,11613,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,bridget,bridget,14/Apr/14 4:02 PM,08/Jan/16 10:15 AM,13/Feb/18 9:39 PM,,,Sprint 1,,0,,,"*Story*
As an editorial team member, I can comment before advancing a question to the next step in the editorial process, so that the next team member understands my motivations.
",,bridget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2=Likely,{},CGAA-5,,1|i004p3:,,,,,,,,
"Edit live content across all sites, both central and licensees",CGAA-1687,18801,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,laci,laci,02/Nov/15 5:51 AM,02/Nov/15 5:51 AM,13/Feb/18 9:39 PM,,,,,0,,,"As a live content editor,
when I make a change to a published Question distributed to licensee sites,
that change needs to be immediately/in short order* visible by all anonymous users to any of the sites (both the central and any and all of the licensees).

*A reasonably short amount of time, like one minute, may be acceptible – but this needs to be confirmed with the client.",,laci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-7,,1|i005df:,,,,,,,,
Site visitor adds their own response to questions,CGAA-324,15142,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,leslieg,leslieg,27/Dec/14 11:00 AM,02/Nov/15 5:05 AM,13/Feb/18 9:39 PM,,,Sprint 1,,0,Accessibility,,"*Feature*
As an anonymous site visitor
I have access to the readers comments text area on published questions
so that I can add my comments about a Q&A
*Accessibility considerations*
The process for me to read and add comments should be fully accessible.
* Edit fields should be clearly labeled, so that I know what I am editing.
* Markup should be used to enable me to quickly move from one existing comment to another.  
* If there is a character limitation, I should be notified of this, either via the label of the affected edit field, via a dynamic change to page title, or via an ARIA-assertive alert.  NOTE, assertive should be used, not rude as anything else would either cause me to miss the messaging or would take away my ability to conduct any edits.
",,leslieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2=Likely,{},CGAA-7,,1|i00553:,,,,,,,,
updated / reviewed on date (timestamp),CGAA-218,12856,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kathlynw,kathlynw,15/Jul/14 4:18 PM,14/Oct/15 2:00 PM,13/Feb/18 9:39 PM,,,s5 efficient eteam tools,,0,,,"feature: display timestamp on homepage

feature: display timestamps on question

feature: Manager makes change without changing last reviewed on date
As a manager, it is important to be able to save changes to a submission (Q&A) without changing the last reviewed date.  This helps managers to make immediate & necessary changes (no major content changes) while still keeping the last reviewed date that flags it for review for larger content changes within the three year review process. Currently, we are able to do this by setting the status of a submission to ""action required"" when we are done making edits in the WYSIWYG and then pressing save. Once saved, we re-enter the submission and change the status once again to ""live"" and then press save. The CMS then requires you to answer the question ""Are you sure you want this to go live?"" and you must select yes. Then, presumably, the changes should be saved to the live site, without changing the last reviewed date. However, in this process, the CMS unpredictably updates the last reviewed date to the current date OR reverts back to a previous last reviewed date. this is a bug in the current system. There also seems to be an option on the current CMS that would allow us to manually change the last reviewed date, but we have not yet figured out how to do this. It would be nice if this function actually worked so that in the event the last reviewed date did change in this process, we could manually change it. ",,kathlynw,,,,,,,,,,,,,CGAA-790,CGAA-229,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-5,,1|i004q7:,,,,,,,,
timestamp(s) in footer of selected pages,CGAA-790,16602,Story,Reopened,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,kay v,kay v,03/Jun/15 11:14 AM,05/Oct/15 5:15 AM,13/Feb/18 9:39 PM,,,,,0,,,"as a web server
I can determine what dates to use for Originally Published: [month day, year] - Last Updated / Reviewed On: [month day, year]
given that the dates are not fully automatic but instead reflect the intention of the Alice! team
and given that dates are different on different pages, even when content is reused (e.g. homepage)
so that I can print accurate information into the appropriate footer

as an Alice! team member, I can control what is printed as a timestamp, and set it manually as needed 
so that changes of substance are reflected and minor changes are not (e.g. no change of date if a spelling error is fixed without attention to other potential problems).",,kay v,leslieg,,,,,,,,,,,,CGAA-229,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-113,,1|hzzoj7:,,,,2015-08-12 18:12:15.144,12/Aug/15 2:12 PM;leslieg;fixed in prod,12/Aug/15 2:24 PM;leslieg;fixed/done in prod,,
Set and modify question review date,CGAA-25,11624,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,bridget,bridget,14/Apr/14 9:26 PM,05/Oct/15 3:35 AM,13/Feb/18 9:39 PM,,,,,0,,,"As an editor, I can set and modify the review date when I publish a question, so that the team knows when to review it again. [The default review date should be 3 years from either the publication date or the most recent review date, whichever is applicable.]
",,bridget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1=High,{},CGAA-6,,1|i0051z:,,,,,,,,
Examples of supplemental documents from various roles,CGAA-211,12318,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Critical,,kay v,kathlynw,kathlynw,29/May/14 4:15 PM,17/Sep/15 7:22 AM,13/Feb/18 9:39 PM,,,,,0,,,"I am still looking for one from the writer's perspective, but essentially, they look a lot alike. What I did not capture here is when a researcher uploads a .pdf in the supplemental document area in a submission because they cannot copy and paste it in their research document or feel that having the entire resource (rather than excerpts) would be helpful to the writer. 

5_27_14 pulling out safe_Suppl doc: Example of supplemental doc uploaded from an editor — no research doc on file.

4_24_14_stages_of_male_sexual_response_supplemental_doc.doc
Male_Orgasm_Research_Document_March_3_2014_0.docx: examples of original research doc submitted by researcher and supplemental doc submitted by manager

4_11_14_email_correspondence_Title_ix_coordinator.docx: supplemental doc created by researcher to upload after initial research document had been created and uploaded




",,kathlynw,,,,,,,,,,,,,,,,,,,,,,,,,,,29/May/14 4:15 PM;kathlynw;4_11_14_email_correspondence_Title_ix_coordinator.docx;https://ownsourcing.atlassian.net/secure/attachment/11108/4_11_14_email_correspondence_Title_ix_coordinator.docx,29/May/14 4:15 PM;kathlynw;4_24_14_stages_of_male_sexual_response_supplemental_doc.doc;https://ownsourcing.atlassian.net/secure/attachment/11106/4_24_14_stages_of_male_sexual_response_supplemental_doc.doc,29/May/14 4:15 PM;kathlynw;5_27_14 pulling out safe_Suppl doc.doc;https://ownsourcing.atlassian.net/secure/attachment/11105/5_27_14+pulling+out+safe_Suppl+doc.doc,29/May/14 4:15 PM;kathlynw;Male_Orgasm_Research_Document_March_3_2014_0.docx;https://ownsourcing.atlassian.net/secure/attachment/11107/Male_Orgasm_Research_Document_March_3_2014_0.docx,,4=Unknown,{},CGAA-5,,1|i004vr:,Sprint 2,,,,,,,
author quiz,CGAA-164,12105,Story,Open,CGAA,Columbia Go Ask Alice!,software,kay v,,,Major,,,nicl,nicl,12/May/14 9:22 AM,29/Aug/15 8:52 AM,13/Feb/18 9:39 PM,,,,,0,,,"scenario: new quiz
As a quiz author
I can create quiz questions and organize them into quick quizzes
in order to create quizzes",,nicl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4=Unknown,{},CGAA-113,,1|i0059b:,,,,,,,,
